代码 / Code,名称 / Name,Name,代码 / Code,备注 / Notes,Notes
A65,金属化学成分标准物质,Metal chemical composition standard material,A65/74,用于金属化学成分分析仪器的校准，分析方法的评价以统一量值的物质或材料。,"For the calibration of metal chemical composition analysis instruments, the analytical method is evaluated with a uniform amount of material or material."
A66,非金属化学成分标准物质,Non-metallic chemical composition standard material,A65/74,用于非金属化学成分分析仪器的校准，分析方法的评价，以统一量值的物质或材料。,"Used for calibration of non-metallic chemical composition analysis instruments, evaluation of analytical methods, with uniform amount of material or material."
A67,物理特性标准物质,Physical properties standard substance,A65/74,用于物理特性测量仪器的校准，测量方法的评价，以统一量值的物质或材料。,"Used for the calibration of physical property measuring instruments, the evaluation of measurement methods, with a uniform amount of material or material."
A68,物理化学特性标准物质,Physical and chemical properties,A65/74,用于物理化学特性测量仪器的校准，测量方法的评价、以统一量值的物质或材料。,"Used for calibration of physical and chemical property measuring instruments, evaluation of measurement methods, substances or materials with a uniform value."
A69,工程技术特性标准物质,Engineering technical characteristics standard material,A65/74,用于工程技术测量设备的校准，测量方法的评价，以统一量值的物质或材料。,"It is used for the calibration of engineering measurement equipment, and the evaluation of measurement methods, with a uniform amount of material or material."
A75,测绘综合,Surveying and mapping,A75/79,术语、符号等。,"Terms, symbols, and so on."
A76,大地、海洋测绘,"Earth, ocean mapping",A75/79,天文、基线、三角（边）、空间、导线、水准、重力等测量及平差计算，海道测量，海底地形测量，海深测量等。,"Astronomical, baseline, trigonometric (edge), space, conductor, level, gravity and other measurements and adjustment calculations, hydrographic surveys, sea floor topographic measurements, sea depth measurements, etc."
A77,摄影与遥感测绘,Photography and remote sensing mapping,A75/79,航空摄影、遥感测绘等。,"Aerial photography, remote sensing and mapping."
A78,精密工程与地籍测绘,Precision engineering and cadastral mapping,A75/79,精密工程测量、变形观测、平板仪测量、地形测量、地籍控制测量、地址点测量、地籍碎部点测量等。,"Precision engineering measurement, deformation observation, plateau measurement, topography measurement, cadastral control measurement, address point measurement, cadastral point measurement, etc."
A79,地图制印,Map printing,A75/79,图式、编绘、制印及地名标准化等。,"Schema, compilation, printing and standardization of geographical names."
A80,标志、包装、运输、贮存综合,"Marking, packaging, transportation and storage",A80/89,,
A82,包装材料与容器,Packaging materials and containers,A80/89,通用的金属与非金属材料瓶、罐、桶、袋等。麻袋入W33，一般用瓶罐入Y22/29。,"Universal metal and non-metallic materials bottles, cans, barrels, bags, etc. Sack into the W33, the general bottle into the Y22/29."
A83,包装方法,Method of packing,A80/89,堆码、跌落、冲击、渗漏、压力、防水等试验方法入此。,"Stacking, dropping, impact, leakage, pressure, waterproof and other test methods into this."
A84,包装工具,Packaging tools,A80/89,包装机械入J83。,Packaging machinery into J83.
A85,集装箱、托盘、货架,"Containers, trays, shelves",A80/89,集装箱的分类、系列、角装置及试验方法，托盘、货架型式尺寸等。集装箱、托盘、货架的维护修理入此。集装箱汽车入T57，集装箱船入U13，装卸机械入J83。,"Container classification, series, angle device and test method, tray, shelf type size, etc. Maintenance and repair of containers, pallets, and shelves are all here. Container vehicles enter T57, container ships enter U13, and loading and unloading machinery enters J83."
A87,运输、贮存,"Transportation, storage",A80/89,运输、仓库物品贮存及贮存过程中共性条件规定（如国际联运、铁路、公路、水运、航空联运等）等。,"Conditions for common conditions (such as international transport, railways, highways, water transport, air transport, etc.) during the storage and storage of transport and warehouse items."
A88,包装印记、铅封、贴标,"Packaging seals, seals, labeling",A80/89,,
A90,社会公共安全综合,Social public safety - general,A90/94,社会公共安全法规，户籍等特殊证件管理、电子计算机与信息安全管理，基础标准等。,"Social public safety regulations, special certificate management such as household registration, electronic computer and information security management, basic standards, etc."
A91,安全防范报警系统,Security alarm system,A90/94,监控系统、报警控制器、探测器、防盗报警装置、安全检查、防爆器设备等。,"Monitoring systems, alarm controllers, detectors, anti-theft alarm devices, safety inspections, explosion-proof devices, etc."
A92,犯罪鉴定技术,Crime identification technology,A90/94,刑事犯的人、事物、时间、空间组成的信息物证、毒物、血清、物化分析方法和技术等。,"Persons, things, time, space of criminal offenses, information evidence, poisons, serums, materialized analysis methods, and technologies."
A94,警用装备与器械,Police equipment and equipment,A90/94,警用装备、被装，警用电击器、手铐等。,"Police equipment, equipment, police electric shockers, handcuffs, etc."
B00,标准化、质量管理,"Standardization, quality management",B00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。,"Standardized work regulations, guidelines, quality supervision and regulations, guidelines, product quality certification systems, etc."
B01,技术管理,Technical management,B00/09,技术文件管理、能源管理，设备、工具管理等。,"Technical document management, energy management, equipment, tool management, etc."
B02,经济管理,Economic management,B00/09,计划、供销、财务、劳资管理等。,"Planning, supply and marketing, finance, labor management, etc."
B04,基础标准与通用方法,Basic standards and general methods,B00/09,术语、符号、取样、制样方法，通用试验方法等。,"Terms, symbols, sampling, sample preparation methods, general test methods, etc."
B05,农林技术,Agriculture and forestry technology,B00/09,栽培、机械化操作技术、田间管理等。飞机播种、治虫、护林作业技术入V53。,"Cultivation, mechanized operation techniques, field management, etc. Aircraft sowing, pest control, forest protection operations technology into V53."
B07,电子计算机应用,Electronic computer applications,B00/09,耕作手势入此。,Tillage gestures into this.
B08,标志、包装、运输、贮存,"Signs, packaging, transportation, storage",B00/09,,
B09,卫生、安全、劳动保护,"Health, safety, labor protection",B00/09,,
B10,土壤、肥料综合,Soil and fertilizer - general,B10/14,术语，符号，分类，取样、分析方法等。,"Terms, symbols, classification, sampling, analysis methods, etc."
B11,土壤、水土保持,Soil and soil conservation,B10/14,,
B13,肥料与土壤调理剂,Fertilizers and soil conditioners,B10/14,有机肥源、堆肥、绿肥、施肥方法等。化学肥料与化工产品土壤调理剂入G20/21。,"Organic fertilizer source, compost, green manure, fertilization methods, etc. Chemical fertilizers and chemicals Soil conditioners into G20/21."
B15,植物保护综合,Plant protection - general,B15/19,术语，符号，分析、试验方法等。,"Terms, symbols, analysis, test methods, etc."
B16,植物检疫、病虫害防治,"Plant quarantine, pest control",B15/19,灾害与预测等。,Disasters and forecasts.
B17,农药管理与使用方法,Pesticide management and use methods,B15/19,农药制造入G23/25。,Pesticides are manufactured into G23/25.
B18,农业气象,Agricultural meteorology,B15/19,,
B20,粮食、饲料作物综合,Comprehensive food and feed crops,B20/29,术语、符号、代号、取样方法、分析方法、运输贮存等。,"Terms, symbols, codes, sampling methods, analysis methods, transportation and storage."
B21,种籽与育种,Seeds and breeding,B20/29,品种、选种等。牧草种子入此。,"Variety, seed selection, etc. Herbage seeds into this."
B22,禾谷类作物与产品,Cereal crops and products,B20/29,谷、稻、麦、玉米、高梁等。粮食加工品入X11。,"Valley, rice, wheat, corn, sorghum and so on. Grain processing products into the X11."
B23,豆类、薯类作物与产品,"Beans, potato crops and products",B20/29,豆类加工品入X11。,Beans processed into X11.
B25,饲料作物,Forage crops,B20/29,牧草、青饲料等。,"Forage, green feed, etc."
B30,经济作物综合,Economic crop - general,B30/39,术语、符号、取样方法、分析方法等。,"Terms, symbols, sampling methods, analysis methods, etc."
B31,爪果、蔬菜种植与产品,"Fruits, vegetables and products",B30/39,坚果入B66，蔬菜加工制品入X26。,"Nuts into the B66, vegetable processed products into the X26."
B32,纤维作物与产品,Fiber crops and products,B30/39,棉、麻等。,"Cotton, hemp, etc."
B33,油料作物与产品,Oil crops and products,B30/39,木本油料作物入B66。食用油料加工制品入X14。,Woody oil crops into the B66. Edible oil processed products into the X14.
B34,糖料作物与产品,Sugar crops and products,B30/39,甘蔗、甜菜等。制糖及糖制品入X30/34。,"Sugar cane, beet, etc. Sugar and sugar products into the X30/34."
B35,烟草、饮料作物与产品,"Tobacco, beverage crops and products",B30/39,烟草加工与制品入X85/89，茶叶制品入X55。,"Tobacco processing and products into the X85/89, tea products into the X55."
B36,香料、佐料作物与产品,"Spices, seasoning crops and products",B30/39,香茅草、姜等。,"Lemon grass, ginger and so on."
B38,药用植物与产品,Medicinal plants and products,B30/39,人参、天麻、当归等。,"Ginseng, Gastrodia, Angelica and so on."
B39,其他经济作物,Other cash crops,B30/39,木耳、蘑菇（包括天然人工培植）等。,"Fungus, mushrooms (including natural artificial cultivation) and so on."
B40,畜牧综合,Livestock husbandry,B40/49,术语、符号、分析方法等。草原、草场标准入此。,"Terms, symbols, analysis methods, etc. Grassland and pasture standards are here."
B41,动物检疫、兽医与疫病防治,"Animal quarantine, veterinary and epidemic prevention",B40/49,,
B42,兽药与畜牧、兽医用器械,"Veterinary drugs and animal husbandry, veterinary equipment",B40/49,,
B43,家畜、家禽,Livestock and poultry,B40/49,畜禽饲养繁殖技术、品种、种畜、种禽等。,"Livestock breeding techniques, breeds, breeders, breeders, etc."
B44,饲养动物,Feeding animals,B40/49,药用动物、食用动物、科学试验用动物、经济动物、观赏动物等。,"Medicinal animals, food animals, scientific test animals, economic animals, ornamental animals, etc."
B45,畜、禽产品,Livestock and poultry products,B40/49,饲养、野生畜禽的原毛、生皮、鬃、肠衣等。,"Raw hair, raw hides, cockroaches, and casings for livestock and wild animals."
B46,畜禽饲料与添加剂,Livestock feed and additives,B40/49,各种配合、混合饲料及添加剂（鱼、磷、钙粉等）。,"Various mixes, mixed feeds and additives (fish, phosphorus, calcium powder, etc.)."
B47,养蜂、养蚕,"Beekeeping, sericulture",B40/49,养蜂、养蚕技术，初加工产品、以及器具等。,"Beekeeping, sericulture technology, primary processing products, and appliances."
B50,水产、渔业综合,Aquaculture and fishery - general,B50/59,术语、符号、代号、分类、检验方法等。,"Terms, symbols, codes, classifications, test methods, etc."
B51,海水养殖与产品,Mariculture and products,B50/59,水产再加工品入X类。,Fisheries reprocessed products into the X class.
B52,淡水养殖与产品,Freshwater aquaculture and products,B50/59,水产再加工品入X类。,Fisheries reprocessed products into the X class.
B53,水产品保鲜,Aquatic products preservation,B50/59,各种水产品保鲜与加工设备入此。冷冻、冷藏设备入J73。,All kinds of aquatic product preservation and processing equipment enter this. Freeze and refrigerate equipment into J73.
B54,渔业饲料,Fishery feed,B50/59,饵料与添加剂入此。,Feed and additives into this.
B56,水产、渔业用器具,Fishery and fishery appliances,B50/59,各种网具、钓具、线、绳等。,"Various nets, fishing tackles, lines, ropes, etc."
B60,林业基础标准与通用方法,Forestry basic standards and general methods,B60/79,术语、通用试验方法等。,"Terminology, general test methods, etc."
B61,种子、苗木、苗圃,"Seed, nursery stock, nursery",B60/79,林木种子等级、区划、贮藏采种技术规程、良种繁育与鉴定推广、适宜种源区划、种苗规程、育苗技术、苗木栽培鉴定，苗木质量、产量标准，总体规划等。,"Tree seed grades, zoning, storage and seed collection technical specifications, breeding and identification of improved varieties, suitable seed source divisions, seedlings and regulations, nursery techniques, seedling cultivation identification, seedling quality, yield standards, master planning, etc."
B62,观赏植物,Ornamental plants,B60/79,花卉等。,Flowers and so on.
B64,森林经营技术,Forest management technology,B60/79,连生丰产林，农田防护林，防沙林，海岸防护林，水源涵养林，森林更新技术，低产林改造、间伐技术，组织经营技术等。,"Lianshengfengchanlin, farmland shelterbelt, sand prevention forest, coastal shelter forest, water conservation forest, forest regeneration technology, low-yield forest reconstruction, thinning technology, and organization management technology."
B65,森林资源保护,Forest resources protection,B60/79,资源调查，资源区划，防治病虫害，野生动物、植物保护等。,"Resource investigation, resource division, pest control, wild animals, plant protection, etc."
B66,经济林与副产品,Economic forest and byproducts,B60/79,木本粮油林、糖料林、香料林、调料林、工业原料林（如：橡胶林、紫胶、白蜡、五倍子）等。,"Woody grain and oil forest, sugar forest, spice forest, seasoning forest, industrial raw material forest (such as: rubber forest, shellac, white wax, gallnut)."
B67,原竹与竹材,Original bamboo and bamboo,B60/79,,
B68,原条与原木,Original bar and logs,B60/79,原条、原木材积麦、材质、等级及尺寸要求，木材缺陷，区界符号，采伐运输作业管理等。,"The original bar, the original wood grain, the material, grade and size requirements, wood defects, the symbol of the area, the management of harvesting and transportation operations, etc."
B69,木材加工材,Wood processing materials,B60/79,普通锯材、特殊用途锯材、木制半成品材等。,"Ordinary sawn timber, special-purpose sawn timber, semi-finished wooden products, etc."
B70,人造板,Artificial board,B60/79,胶合板、纤维板、刨花板、复合板、人造板二次加工产品，塑料贴面板等。,"Plywood, fiberboard, particle board, composite board, secondary processing of wood-based panels, plastic plywood, etc."
B71,木材竹材防腐,Wood bamboo preservative,B60/79,防腐技术、产品质量等。,"Anti-corrosion technology, product quality and so on."
B72,林产化工原料,Forest chemical raw materials,B60/79,天然树脂、天然胶、天然漆、天然樟脑、天然色素、天然单宁、木本油脂、木本香料、松香、松节油及其初加工产品。,"Natural resins, natural gums, natural lacquers, natural camphor, natural pigments, natural tannins, woody oils, woody spices, rosin, turpentine and its primary processed products."
B73,木炭,Charcoal,B60/79,木材热解产品入G16。,Wood pyrolysis products into the G16.
B90,农、林机械与设备综合,Agriculture and forestry machinery and equipment integration,B90/99,术语、符号、分类、命名、参数、检验通则、操作规则、试验方法、农林机械维修等。,"Terms, symbols, classification, naming, parameters, inspection rules, operating rules, test methods, maintenance of agricultural and forestry machinery, etc."
B91,农机具,Agricultural machinery,B90/99,耕整、种植、植保、收获、场上作业、排罐、农田建设等机械。通用泵入J71。,"Tillage, planting, plant protection, harvesting, field operations, tanks, farmland construction and other machinery. Universal pump into J71."
B92,畜牧、家禽机械与设备,"Livestock, poultry machinery and equipment",B90/99,饲养、禽畜、畜产品采集、加工等机械。,"Feeding, livestock, livestock product collection, processing and other machinery."
B93,农副产品与饲料加工机械,Agricultural and sideline products and feed processing machinery,B90/99,,
B94,渔业机械与设备,Fishing machinery and equipment,B90/99,捕捞、养殖机械设备，渔业用仪器等。渔船入U15。,"Fishing, breeding machinery and equipment, fishery instruments. Fishing boat into U15."
B95,营林机械与机具,Forest machinery and equipment,B90/99,种苗、林地清理、造林、中幼林抚育、土壤改良等机械和机具。草原机具入此。,"Seedlings, forest land clearing, afforestation, middle and young forest tending, soil improvement and other machinery and equipment. Grassland equipment into this."
B96,木材采运机械与设备,Wood harvesting machinery and equipment,B90/99,采伐、集运、贮木场造选归装作业等设备。林区铁路入S类，木材运输专用汽车入T55。,"Harvesting, transportation, storage and selection of equipment and other equipment. The forest area railway enters class S, and the timber transport special vehicle enters the T55."
B97,锯材、人造板机械与设备,"Sawn timber, wood-based panel machinery and equipment",B90/99,胶合板、纤维板、刨花板、木片等用的机械设备。通用木工机床、机用工具入J65。手工工具入J47。电动工具入K64。,"Plywood, fiberboard, chipboard, wood chips and other mechanical equipment. Universal woodworking machine tools, machine tools into the J65. Hand tools into the J47. Power tool into the K64."
C00,标准化、质量管理,"Standardization, quality management",C00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。,"Standardized work regulations, guidelines, quality supervision and regulations, guidelines, product quality certification systems, etc."
C01,技术管理,Technical management,C00/09,技术文件管理，能源管理，设备、工具管理等。,"Technical document management, energy management, equipment, tool management, etc."
C02,经济管理,Economic management,C00/09,计划、供销、财务、劳资管理等。,"Planning, supply and marketing, finance, labor management, etc."
C04,基础标准与通用方法,Basic standards and general methods,C00/09,,
C05,医学,Medicine,C00/09,基础、临床、预防、航空、航天医学等。,"Basic, clinical, preventive, aviation, aerospace medicine, etc."
C06,法医,Forensics,C00/09,法医技术与器材等。,Forensic technology and equipment.
C07,电子计算机应用,Electronic computer applications,C00/09,,
C08,标志、包装、运输、贮存,"Signs, packaging, transportation, storage",C00/09,,
C10,医药综合,Comprehensive medicine,C10/29,术语、命名、红外图谱集、制剂通则、通用检验和测定方法等。,"Terms, nomenclature, collection of infrared spectra, general rules for preparations, general inspection and determination methods, etc."
C11,中国药典及成册药品标准,Chinese pharmacopoeia and drug standards,C10/29,成册药品的行业、地方标准入此。,The industry and local standards for the book medicines are included here.
C12,抗生素类药,Antibiotics,C10/29,原料药与制剂等。,Raw materials and preparations.
C13,磺胺、抗结核与其他抗感染药,"Sulfonamide, anti-tuberculosis and other anti-infective drugs",C10/29,原料药与制剂等。,Raw materials and preparations.
C14,解热镇痛、麻醉与中枢神经系统用药,"Antipyretic analgesia, anesthesia and central nervous system medication",C10/29,原料药与制剂等。,Raw materials and preparations.
C15,激素、计划生育、抗肿瘤药与免疫抑制药,"Hormones, family planning, antineoplastic agents and immunosuppressive drugs",C10/29,原料药与制剂等。,Raw materials and preparations.
C16,抗寄生虫、抗组胺、地方病药与解毒药,"Antiparasitic, antihistamine, endemic drugs and antidotes",C10/29,原料药与制剂等。,Raw materials and preparations.
C17,心血管、呼吸与血液系统用药,"Cardiovascular, respiratory and blood system medications",C10/29,原料药与制剂等。,Raw materials and preparations.
C18,消化、泌尿系统与调节酸碱平衡用药,"Digestion, urinary system and adjustment of acid-base balance medication",C10/29,原料药与制剂等。,Raw materials and preparations.
C19,诊断用药、外用消毒药与五官科、皮肤科用药,"Diagnostic medicine, external disinfectant, ent, dermatology medicine",C10/29,医用同位素入F54。,Medical isotopes into F54.
C20,维生素类、滋补营养、氨基酸、酶类药与其他生化药品,"Vitamins, nourishing nutrition, amino acids, enzymes and other biochemicals",C10/29,,
C21,制剂用辅料与其他,Preparation materials and other,C10/29,稳定剂、抗氧剂、防腐剂、赋形剂等。,"Stabilizers, antioxidants, preservatives, excipients, etc."
C23,中药材,Chinese herbal medicine,C10/29,根、根茎、叶、花、果实、全草、种子、皮、藤木、树脂、藻菌、动物、昆虫、矿物等。,"Roots, rhizomes, leaves, flowers, fruits, whole plants, seeds, skins, rattan, resins, algae, animals, insects, minerals, etc."
C25,中药制剂,Chinese medicine preparation,C10/29,蜜丸剂、水丸剂、散、片、膏（剪膏、蜜膏、浸膏）、糖浆、酊剂与注射剂、药酒等。,"Honey pill, pills, powder, tablets, paste (clip cream, honey cream, extract), syrup, tincture and injection, wine and so on."
C27,生物制品与血液制品,Biological products and blood products,C10/29,血清、疫苗、菌苗及血液制品等。,"Serum, vaccines, bacterins, and blood products."
C30,医疗器械综合,Medical device - general,C30/49,术语、符号、代号、分类、命名、通用的试验方法，技术条件及零部件，工艺与工艺装备等。,"Terms, symbols, codes, classifications, nomenclature, general test methods, technical conditions and parts, processes and process equipment."
C31,一般与显微外科器械,General and microsurgical instruments,C30/49,基本外科、烧伤外科、神经外科、显微器械及注射穿刺输液器械等。,"Basic surgery, burn surgery, neurosurgery, micro-instrumentation and injection puncture infusion devices."
C32,眼科与耳鼻咽喉科手术器械,Ophthalmology and otolaryngology surgical instruments,C30/49,,
C33,口腔科器械、设备与材料,"Dental instruments, equipment and materials",C30/49,口腔科治疗、手术、整形用器械和设备，牙科修复、充填、金属整矫印模材料等。,"Stomatological treatment, surgery, orthopaedic appliances and equipment, dental restorations, fillings, metal-orientated impression materials, etc."
C35,矫形外科、骨科器械,Orthopedic and orthopaedic devices,C30/49,骨科器械（刀、剪、钳、镊等），安装器械，埋入器械，矫形器械等。,"Orthopaedic devices (knives, scissors, forceps, files, etc.), installation devices, embedded devices, orthopedic devices."
C36,其他专科器械,Other special equipment,C30/49,计划生育、妇产科、儿科器械等，胸腔心血管外科、腹部外科、泌尿肛肠外科器械及中医器械等。,"Family Planning, Obstetrics and Gynecology, Pediatrics, etc., Thoracic and Cardiovascular Surgery, Abdominal Surgery, Urinary Anorectal Surgical Instruments, and Chinese Medicine Instruments."
C37,医疗设备通用要求,General requirements for medical equipment,C30/49,术语、符号、代号等。,"Terms, symbols, codes, and so on."
C38,普通诊察器械,General examination equipment,C30/49,体温、血压、听诊、呼吸等诊察器械及反光器具等。,"Body temperature, blood pressure, auscultation, breathing and other diagnostic equipment and reflectors."
C39,医用电子仪器设备,Medical electronic equipment,C30/49,电生理与非电参数检测仪，生理记录、监护、运动试验装置等。通用电子仪器入N33。,"Electrophysiological and non-electrical parameter detectors, physiological recording, monitoring, exercise test devices, etc. Universal electronic instrument into the N33."
C40,医用光学仪器设备与内窥镜,Medical optical instruments and endoscopes,C30/49,眼科仪器，纤维、硬管内窥镜，直观窥镜等。显微镜入N33,"Ophthalmic instruments, fiber, hard-tube endoscopes, visual speculum, etc. Microscope into N33"
C41,医用超声、激光、高频仪器设备,"Medical ultrasound, laser, high-frequency equipment",C30/49,超声、激光诊断、治疗设备、高频电刀设备等。,"Ultrasonic, laser diagnostics, therapeutic equipment, electrosurgical equipment, etc."
C42,理疗与中医仪器设备,Physiotherapy and traditional chinese medicine equipment,C30/49,电疗、磁疗、光疗、浴疗、体疗等理疗仪器设备，中医电针、针麻、刺激仪器等。,"Electrotherapy, magnetic therapy, phototherapy, balneotherapy, physical therapy and other physical therapy equipment, Chinese medicine electroacupuncture, acupuncture, stimulation equipment."
C43,医用射线设备,Medical ray equipment,C30/49,医用X线设备，同位素诊断、治疗设备，检测防护装置等。,"Medical X-ray equipment, isotope diagnosis, treatment equipment, detection protection devices, etc."
C44,医用化验设备,Medical testing equipment,C30/49,医用加速器入F91，医用同位素入F54。医用化验设备（细胞离心、细菌培养等），生化分析仪，血液化验器具与设备，病理学化验设备，纯水设备等。,"Medical accelerator into F91, medical isotope into F54. Medical testing equipment (cell centrifuge, bacterial culture, etc.), biochemical analyzers, blood testing equipment and equipment, pathological laboratory equipment, pure water equipment, etc."
C45,体外循环、人工脏器、假体装置,"Extracorporeal circulation, artificial organ, prosthetic device",C30/49,助听器入L31。,Hearing aid into L31.
C46,手术室设备,Operating room equipment,C30/49,手术台、床、椅设备，麻醉呼吸设备，吸引冲洗设备，急救设备等。医用照明灯具入K73,"Operating table, bed, chair equipment, anesthesia breathing equipment, suction washing equipment, emergency equipment and so on. Medical lighting into the K73"
C47,公共医疗设备,Public medical equipment,C30/49,病房、普查、救护、防疫、消毒与医用冷冻设备等。通用冷冻设备入J73。医用汽车入T56。,"Ward, census, rescue, epidemic prevention, disinfection and medical refrigeration equipment. General freezing equipment into the J73. Medical car into the T56."
